id,ageRating,countries,genres,name,updatedAt,year,sequelsAndPrequels,createdAt,networks,audience,totalSeriesLength,rating_kp,rating_imdb,rating_tmdb,rating_filmCritics,rating_russianFilmCritics,rating_await,fees_world_value,fees_world_currency,fees_russia_value,fees_russia_currency,fees_usa_value,fees_usa_currency,budget_value,budget_currency,votes_kp,votes_imdb,votes_tmdb,votes_filmCritics,votes_russianFilmCritics,votes_await,genres_str,genre_count,countries_str,audience_total,has_sequel
1209747,6.0,[{'name': 'Россия'}],"[{'name': 'семейный'}, {'name': 'мелодрама'}]",Счастье — это… Часть 2,2026-03-01T17:30:25.138Z,2019,"[{'id': 892778, 'name': 'Счастье — это...', 'alternativeName': 'Счастье — это...', 'type': 'movie', 'relationType': 'BEFORE', 'poster': {'url': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/44639df0-1a47-419f-ac6d-c368443c84c3/600x900', 'previewUrl': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/44639df0-1a47-419f-ac6d-c368443c84c3/300x450'}, 'year': 2015}]",2026-01-04T13:06:12.107Z,,,,6.05,7.1,,0.0,0.0,0,0.0,,,,,,,,1790,66,,0,0,0,"семейный, мелодрама",2,Россия,0,True
1209752,12.0,[{'name': 'Россия'}],"[{'name': 'комедия'}, {'name': 'семейный'}]",Дорогой папа,2026-03-01T04:23:27.601Z,2019,,2019-01-01T00:00:00.000Z,,"[{'count': 170525, 'country': 'Россия'}]",,6.025,5.7,,0.0,33.3333,0,562573.0,$,615639.0,$,,,,,8493,109,,0,3,0,"комедия, семейный",2,Россия,0,False
1209628,,[{'name': 'США'}],"[{'name': 'триллер'}, {'name': 'драма'}]",Только моя,2026-03-01T06:26:21.683Z,2019,,2019-01-01T00:00:00.000Z,,,,5.314,4.7,5.195,0.0,0.0,0,0.0,,,,,,,,474,4000,133.0,0,0,0,"триллер, драма",2,США,0,False
1209740,18.0,"[{'name': 'Казахстан'}, {'name': 'Украина'}]",[{'name': 'ужасы'}],Страшные истории для рассказа у костра,2026-03-01T13:11:07.869Z,2018,,2025-12-29T12:18:10.884Z,,,,5.844,0.0,,0.0,0.0,0,0.0,,3863.0,$,,,,,10875,0,,0,0,0,ужасы,1,"Казахстан, Украина",0,False
1209739,,[{'name': 'Япония'}],"[{'name': 'детектив'}, {'name': 'триллер'}]","12 ребят, которые хотят умереть",2026-03-02T06:08:01.556Z,2019,,2026-01-03T15:05:49.016Z,,,,6.13,5.8,,0.0,0.0,0,11950916.0,$,,,,,,,1750,1300,,0,0,0,"детектив, триллер",2,Япония,0,False
1209736,18.0,[{'name': 'США'}],"[{'name': 'комедия'}, {'name': 'боевик'}, {'name': 'фантастика'}]",Жил-был Дэдпул,2026-03-02T00:12:58.859Z,2018,,2019-01-01T00:00:00.000Z,,"[{'count': 179384, 'country': 'Россия'}]",,6.386,0.0,,6.0,0.0,0,0.0,,742021.0,$,,,,,30375,0,,60,2,0,"комедия, боевик, фантастика",3,США,0,False
1209712,18.0,"[{'name': 'Ирландия'}, {'name': 'Канада'}, {'name': 'США'}]","[{'name': 'ужасы'}, {'name': 'фэнтези'}]",Гретель и Гензель,2026-03-02T12:13:41.335Z,2020,,2024-04-13T02:13:45.972Z,,,,5.9,5.5,,6.2,62.5,0,22304357.0,$,795703.0,$,15347654.0,$,5000000.0,$,90916,39000,,115,8,0,"ужасы, фэнтези",2,"Ирландия, Канада, США",0,False
1209729,18.0,"[{'name': 'Япония'}, {'name': 'Великобритания'}]","[{'name': 'драма'}, {'name': 'история'}]",Самурайский марафон,2026-02-25T14:16:05.038Z,2019,[],2019-01-01T00:00:00.000Z,,,,5.833,6.2,6.0,6.5,0.0,0,0.0,,,,,,,,329,1400,54.0,10,0,0,"драма, история",2,"Япония, Великобритания",0,False
1209715,18.0,"[{'name': 'Гонконг'}, {'name': 'Китай'}]","[{'name': 'боевик'}, {'name': 'детектив'}, {'name': 'криминал'}]",Наперегонки со временем,2026-02-21T13:53:05.087Z,2020,,2019-01-01T00:00:00.000Z,,,,6.041,6.1,,0.0,0.0,0,83290000.0,$,,,,,,,389,1100,,0,0,0,"боевик, детектив, криминал",3,"Гонконг, Китай",0,False
1209527,18.0,"[{'name': 'Австралия'}, {'name': 'США'}]","[{'name': 'фэнтези'}, {'name': 'драма'}, {'name': 'мелодрама'}]",Три тысячи лет желаний,2026-03-02T12:02:26.129Z,2022,,2024-04-13T01:35:45.317Z,,"[{'count': 790003, 'country': 'Россия'}]",,7.263,6.7,,6.5,76.9231,0,20282422.0,$,4376584.0,$,8286741.0,$,60000000.0,$,542913,72000,,261,13,0,"фэнтези, драма, мелодрама",3,"Австралия, США",0,False
